carrier,plan_type,plan_name,plan_price,plan_data,plan_features
telus,postpaid,5G+ Unlimited,75.0,125.0,"• 125GB shareable data at speeds up to 1Gbps and unlimited data at reduced speedUnlimited nationwide data
• talk and textAccess to mobile hotspot or tetheringSave up to 39% off for 6 months when you redeem Stream+ PremiumUnlimited international messaging"
telus,postpaid,5G+ Unlimited CAN-US-Mexico,90.0,200.0,"• 200GB shareable data at speeds up to 2Gbps and unlimited data at reduced speedUnlimited data
• talk and text in Canada
• the US and MexicoAccess to mobile hotspot or tetheringSave up to 39% off for 6 months when you redeem Stream+ PremiumUnlimited international messaging$0 data sharing on your first connected device when you finance on a 2-year term.Redeem 24 months of TELUS Online Security Complete on us"
telus,postpaid,Voice,35.0,0.0,"• Unlimited nationwide talk & textPay-per-use dataTELUS Call Display+
• Call Waiting and Voicemail"
freedom,postpaid,100GB 5G+ plan,40.0,100.0,"• Unlimited talk & text. Freedom Nationwide. Canada-U.S.-Mexico data. Unlimited Canada-U.S.-Mexico calling and incoming calls. Unlimited global text
• picture and video messaging. Fastest available data speed. Voicemail+."
freedom,postpaid,126GB 5G+ plan,50.0,125.0,"• Unlimited talk & text. Freedom Nationwide. Canada-U.S.-Mexico data. Unlimited Canada-U.S.-Mexico calling and incoming calls. Unlimited global text
• picture and video messaging. Fastest available data speed. Voicemail+."
freedom,postpaid,50GB 5G+ plan,35.0,60.0,• Unlimited talk & text. Canada + U.S. + Mexico. Roam Beyond in 100+ destinations. $4/mo ongoing credit when you bring your own phone¹²
freedom,postpaid,100GB 5G+ plan,55.0,100.0,• Unlimited talk & text. Canada + U.S. + Mexico. Roam Beyond in 100+ destinations. $4/mo ongoing credit when you bring your own phone¹²
freedom,postpaid,1GB  5G + plan,19.0,1.0,• Unlimited talk & text. Canada + U.S. + Mexico. $14/mo. plan price with Freedom Home Internet¹¹
freedom,postpaid,10GB 5G+ plan,34.0,10.0,• Unlimited talk & text. Canada + U.S. + Mexico + Roam Beyond. $29/mo. plan price with Freedom Home Internet¹¹
chatr,prepaid,3 GB,25.0,3.0,Unlimited Canada-Wide Talk
chatr,prepaid,60 GB,34.0,60.0,Unlimited Canada/US Talk
chatr,prepaid,80GB,45.0,80.0,Unlimited Canada/US Talk
chatr,prepaid,100 GB,55.0,100.0,Unlimited Canada/US Talk
chatr,prepaid,30 GB,149.0,30.0,Unlimited Canada-Wide Talk
public_mobile,prepaid,CAN-US-MEX 5G 60GB,35.0,60.0,"• 5G Speed¹
60GB Data¹
Unlimited Talk & Text²
500 International minutes³
$1.75/mo. in Public Points™"
public_mobile,prepaid,Canada-wide 5G 60GB,34.0,60.0,"• 60GB data at 5G speed up to 250Mbps¹¹
Unlimited data at reduced speed¹⁰
Unlimited Talk & Text²
$1.70/mo. in Public Points™"
public_mobile,prepaid,CAN-US-MEX 5G 10GB,29.0,10.0,"• 5G Speed¹
10GB Data¹
Unlimited Talk & Text²
250 International minutes³
$1.45/mo. in Public Points™"
public_mobile,prepaid,CAN-US-MEX 5G 80GB,45.0,80.0,"• 5G Speed¹
80GB Data¹
Unlimited Talk & Text²
1000 International minutes³
$2.25/mo. in Public Points™"
public_mobile,prepaid,Canada-wide 4G 10GB,26.0,10.0,"• 4G Speed¹
10GB Data¹
Unlimited Talk & Text²
$1.30/mo. in Public Points™"
public_mobile,prepaid,Canada-wide 4G 1GB,19.0,1.0,"• 4G Speed¹
1GB Data¹
Unlimited Talk & Text²
$0.95/mo. in Public Points™"
freedom_prepaid,prepaid,100GB 5G+ plan,40.0,100.0,• Freedom Nationwide
freedom_prepaid,prepaid,126GB 5G+ plan,50.0,125.0,• Freedom Nationwide
freedom_prepaid,prepaid,150GB 5G+ plan,60.0,150.0,• Freedom Nationwide
freedom_prepaid,prepaid,50GB 5G+ plan,35.0,60.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
freedom_prepaid,prepaid,1GB 5G+ plan,19.0,1.0,• Canada + U.S. + Mexico
freedom_prepaid,prepaid,10GB 5G+ plan,34.0,10.0,• Canada + U.S. + MexicoRoam Beyond in 100+ destinations
